resume_text,jd_text,years_exp,semantic_similarity,numeric_score,detailed_ai_suggestion,,,,,,
"Technical writer with 6 years of experience in documentation for APIs, SDKs, and cloud services. Familiar with Markdown, Git, and Confluence.","Hiring an ML engineer for model development and deployment. 4+ years of TensorFlow, Flask, NLP preferred.",6,0.89,89,"Strong fit (Score: 89%, Similarity: 0.89). With 6 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"AI researcher with 10 years of hands-on research in LLMs, transformers, and reinforcement learning. Published in IEEE and arXiv.","Hiring a marketing analyst to track campaign KPIs. Must know Google Analytics, Tableau, and Excel. SEO knowledge is a plus.",10,0.92,92,"Strong fit (Score: 92%, Similarity: 0.92). With 10 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"AI researcher with 3 years of hands-on research in LLMs, transformers, and reinforcement learning. Published in IEEE and arXiv.","System admin role with 3+ years' experience in Linux servers, patching, shell scripting, and network troubleshooting.",3,0.85,85,"Strong fit (Score: 85%, Similarity: 0.85). With 3 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"DevSecOps specialist with 9 years of experience implementing security policies in CI/CD pipelines. Hands-on with SonarQube, Vault, and AWS IAM.",Technical writer with 3+ years of experience documenting complex APIs and developer guides. Git and Markdown required.,9,0.74,74,"Moderate fit (Score: 74%, Similarity: 0.74). With 9 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Consider for alternate or adjacent role; assess learning potential.",,,,,,
"Cybersecurity analyst with 2 years' experience in network monitoring, threat detection, and incident response. Skilled in Wireshark, Splunk, and SIEM tools.","We need a Unity game developer with experience in C#, multiplayer systems, and monetization integrations.",2,0.84,84,"Good fit (Score: 84%, Similarity: 0.84). With 2 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"System administrator with 5 years of Linux and Windows server management. Skilled in shell scripting, Active Directory, and patching.","QA engineer with 2+ years' experience in Selenium, Postman, automated testing frameworks, and bug tracking tools.",5,0.81,81,"Good fit (Score: 81%, Similarity: 0.81). With 5 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"Cybersecurity analyst with 6 years' experience in network monitoring, threat detection, and incident response. Skilled in Wireshark, Splunk, and SIEM tools.",Need blockchain developer with Solidity and Ethereum experience. Should understand gas optimization and smart contract security.,6,0.84,84,"Good fit (Score: 84%, Similarity: 0.84). With 6 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"Marketing analyst with 8 years' experience in Google Analytics, campaign reporting, and market segmentation. Strong Excel and Tableau skills.",Need blockchain developer with Solidity and Ethereum experience. Should understand gas optimization and smart contract security.,8,0.77,77,"Good fit (Score: 77%, Similarity: 0.77). With 8 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"Legal associate with 2 years’ experience in contract review, legal research, and compliance. Skilled in corporate law documentation.","Looking for a business analyst experienced in Agile teams, wireframing, and stakeholder communication. 2+ years required.",2,0.82,82,"Good fit (Score: 82%, Similarity: 0.82). With 2 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"AI researcher with 5 years of hands-on research in LLMs, transformers, and reinforcement learning. Published in IEEE and arXiv.",Legal associate needed for reviewing contracts and compliance support. Must know corporate law. 1–3 years of experience.,5,0.86,86,"Strong fit (Score: 86%, Similarity: 0.86). With 5 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
